issue,verdict,category,brand,product,asin,amazon_url,other_buy_link,note
DEAD (404 risk),good,Air fryers,Magnifique,Magnifique Glass Air Fryer Combo,B0GTR2L9FX,https://www.amazon.com/dp/B0GTR2L9FX,,replace or remove the link
DEAD (404 risk),good,Air fryers,Magnifique,Magnifique air fryers,B0GTR2L9FX,https://www.amazon.com/dp/B0GTR2L9FX,,replace or remove the link
DEAD (404 risk),good,Bedding,Chardin Home Jute,Chardin Home Jute and Cotton Rug (5x7),B0CYWMM5LR,https://www.amazon.com/dp/B0CYWMM5LR,,replace or remove the link
DEAD (404 risk),good,Bedding,Uigos,Uigos Stainless Steel Curtain Rings,B01GC1TLQ4,https://www.amazon.com/dp/B01GC1TLQ4,,replace or remove the link
DEAD (404 risk),good,Bedding,Wool&,Senger Naturwelt Wool Stuffies,B07QF23MG4,https://www.amazon.com/dp/B07QF23MG4,,replace or remove the link
DEAD (404 risk),good,Clothing,Grimm's,Grimm's Rainbow Stacker,B07DLNFK1M,https://www.amazon.com/dp/B07DLNFK1M,,replace or remove the link
DEAD (404 risk),good,Cribs & nursery,Klean Kanteen,Klean Kanteen Kid Kanteen with Silicone Straw,B0DK7KWSRD,https://www.amazon.com/dp/B0DK7KWSRD,,replace or remove the link
DEAD (404 risk),good,Cribs & nursery,Under the Nile,Under the Nile Organic Cotton Stuffies,B07VYNFKPC,https://www.amazon.com/dp/B07VYNFKPC,,replace or remove the link
DEAD (404 risk),good,Cutting boards,BoardSmith,BoardSmith End Grain Cutting Board,B0BT8BXWJT,https://www.amazon.com/dp/B0BT8BXWJT,,replace or remove the link
DEAD (404 risk),good,Cutting boards,BoardSmith,BoardSmith cutting boards,B0BT8BXWJT,https://www.amazon.com/dp/B0BT8BXWJT,,replace or remove the link
DEAD (404 risk),good,Food storage,Caperci,"Caperci Stainless Steel Containers (3 Pack, 25oz)",B0FWK3VX16,https://www.amazon.com/dp/B0FWK3VX16,,replace or remove the link
DEAD (404 risk),good,Food storage,EcoPeaceful 316,EcoPeaceful 316 Stainless Steel Jar Lids (Regular Mouth),B08RBDJ1GM,https://www.amazon.com/dp/B08RBDJ1GM,,replace or remove the link
DEAD (404 risk),good,Skincare,Juice Beauty PHYTO-PIGMENTS,Juice Beauty PHYTO-PIGMENTS Flawless Serum Foundation,B075SL8HZ5,https://www.amazon.com/dp/B075SL8HZ5,,replace or remove the link
DEAD (404 risk),good,Tampons,Natracare,Natracare Organic Cotton Tampons,B001E14MJO,https://www.amazon.com/dp/B001E14MJO,,replace or remove the link
DEAD (404 risk),good,Toys,Weck,Weck Canning Jars,B00E9E45JA,https://www.amazon.com/dp/B00E9E45JA,,replace or remove the link
DEAD (404 risk),good,Water bottles,Tupkee,Tupkee Double Wall Glass Tumbler (8oz),B08JCLTWSL,https://www.amazon.com/dp/B08JCLTWSL,,replace or remove the link
UNBUYABLE,good,Baby bottles,Pura Kiki,"Non insulated stainless bottle, sippy, 9oz",B0B1PFSQB6,https://www.amazon.com/dp/B0B1PFSQB6,,replace or remove the link
UNBUYABLE,good,Baby sleep,aden + anais,Aden + Anais Organic Muslin Swaddles,B0DVCDHHHN,https://www.amazon.com/dp/B0DVCDHHHN,,replace or remove the link
UNBUYABLE,good,Bedding,Chardin Home Jute,Chardin Home Jute and Cotton Rug (5x7),B0FHKNN9MY,https://www.amazon.com/dp/B0FHKNN9MY,,replace or remove the link
UNBUYABLE,good,Bedding,Threadvista,Threadvista Cotton Area Rug (4x6),B0FHBG4XX7,https://www.amazon.com/dp/B0FHBG4XX7,,replace or remove the link
